ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
D,"Dominion Energy, Inc.",69.6,B (Accumulate),80,65,73,70,50,65,63.79,-0.5,158
DECK,Deckers Outdoor Corporation,69.6,B (Accumulate),55,65,73,75,80,90,115.51,11.3,159
TT,Trane Technologies plc,69.4,B (Accumulate),65,70,68,65,75,83,461.38,4.0,160
HII,"Huntington Ingalls Industries, Inc.",69.3,B (Accumulate),85,65,55,65,70,73,399.37,-2.1,161
KR,The Kroger Co.,69.3,B (Accumulate),80,65,73,45,75,75,68.02,8.1,162
BWA,BorgWarner Inc.,69.3,B (Accumulate),80,65,68,45,70,90,53.98,-6.4,163
JBL,Jabil Inc.,69.3,B (Accumulate),65,65,83,60,55,90,258.93,2.2,164
RSG,"Republic Services, Inc.",69.2,B (Accumulate),75,70,73,60,55,73,223.07,9.5,165
YUM,"Yum! Brands, Inc.",69.2,B (Accumulate),80,65,73,55,75,58,158.85,7.1,166
MPC,Marathon Petroleum Corporation,69.1,B (Accumulate),80,60,68,60,70,75,204.15,-2.3,167
FTV,Fortive Corporation,69.1,B (Accumulate),90,65,68,40,50,90,61.92,-0.2,168
LOW,"Lowe's Companies, Inc.",69.0,B (Accumulate),65,70,70,65,70,80,284.67,-1.2,169
BK,The Bank of New York Mellon Corporation,68.9,B (Accumulate),60,70,73,70,75,73,126.45,4.9,170
STT,State Street Corporation,68.9,B (Accumulate),55,70,83,75,75,58,132.23,8.6,171
OTIS,Otis Worldwide Corporation,68.9,B (Accumulate),65,70,83,55,80,58,90.06,13.8,172
MAR,"Marriott International, Inc.",68.8,B (Accumulate),70,60,68,65,70,90,359.35,-3.9,173
RCL,Royal Caribbean Cruises Ltd.,68.8,B (Accumulate),55,65,68,80,75,90,347.3,4.5,174
TGT,Target Corporation,68.8,B (Accumulate),80,65,73,65,35,80,113.23,-10.1,175
CAH,"Cardinal Health, Inc.",68.7,B (Accumulate),55,70,83,60,80,73,220.27,12.5,176
PWR,"Quanta Services, Inc.",68.7,B (Accumulate),70,65,73,55,70,83,510.64,-6.2,177
EQT,EQT Corporation,68.6,B (Accumulate),65,65,68,75,80,65,55.39,15.3,178
CNP,"CenterPoint Energy, Inc.",68.6,B (Accumulate),75,65,73,55,75,65,40.97,3.7,179
CVX,Chevron Corporation,68.6,B (Accumulate),80,65,68,40,70,90,182.26,-0.3,180
IFF,International Flavors & Fragrances Inc.,68.6,B (Accumulate),80,65,73,30,75,90,76.76,7.2,181
IP,International Paper Company,68.6,B (Accumulate),75,55,73,55,70,90,48.0,-2.4,182
MTCH,"Match Group, Inc.",68.4,B (Accumulate),70,65,68,70,80,58,32.49,12.3,183
UDR,"UDR, Inc.",68.4,B (Accumulate),80,65,73,40,75,73,39.38,3.4,184
GE,GE Aerospace,68.3,B (Accumulate),65,70,83,70,60,50,316.33,13.0,185
TPR,"Tapestry, Inc.",68.3,B (Accumulate),65,65,68,60,75,90,153.18,2.2,186
HLT,Hilton Worldwide Holdings Inc.,68.3,B (Accumulate),80,65,68,45,70,80,323.7,-7.1,187
SO,The Southern Company,68.3,B (Accumulate),65,65,83,70,55,65,90.72,5.6,188
PSX,Phillips 66,68.2,B (Accumulate),60,65,68,75,70,83,157.31,-1.0,189
APA,APA Corporation,68.2,B (Accumulate),70,55,83,65,50,83,27.45,-3.3,190
MLM,"Martin Marietta Materials, Inc.",68.2,B (Accumulate),70,65,68,65,70,73,708.11,-3.0,191
BG,Bunge Global SA,68.2,B (Accumulate),80,60,60,65,55,90,118.37,6.4,192
WAB,Westinghouse Air Brake Technologies Corporation,68.1,B (Accumulate),60,70,73,60,75,80,246.45,1.4,193
NI,NiSource Inc.,68.1,B (Accumulate),60,70,73,70,75,65,44.73,4.7,194
BAX,Baxter International Inc.,68.1,B (Accumulate),85,65,68,45,55,80,21.94,4.4,195
DGX,Quest Diagnostics Incorporated,67.9,B (Accumulate),60,65,68,70,75,83,205.35,2.6,196
BAC,Bank of America Corporation,67.9,B (Accumulate),70,65,58,80,80,58,55.39,12.3,197
AEP,"American Electric Power Company, Inc.",67.8,B (Accumulate),60,65,73,75,75,65,121.23,6.2,198
AMP,"Ameriprise Financial, Inc.",67.8,B (Accumulate),65,65,68,80,80,50,505.64,12.7,199
CMS,CMS Energy Corporation,67.8,B (Accumulate),60,65,73,75,75,65,73.75,5.9,200
MKTX,MarketAxess Holdings Inc.,67.8,B (Accumulate),70,65,75,60,75,58,177.31,8.8,201
ENPH,"Enphase Energy, Inc.",67.8,B (Accumulate),90,55,68,45,50,90,50.25,-9.5,202
EQIX,"Equinix, Inc.",67.6,B (Accumulate),75,70,68,45,80,65,856.74,11.9,203
TRGP,Targa Resources Corp.,67.6,B (Accumulate),65,70,68,65,50,90,217.06,-1.8,204
ROL,"Rollins, Inc.",67.6,B (Accumulate),80,50,73,60,75,65,64.97,0.5,205
EXC,Exelon Corporation,67.5,B (Accumulate),75,65,70,70,55,58,44.64,9.2,206
ABBV,AbbVie Inc.,67.4,B (Accumulate),75,65,68,55,80,58,222.44,10.3,207
MCK,McKesson Corporation,67.4,B (Accumulate),60,70,68,60,75,83,935.21,4.2,208
VMC,Vulcan Materials Company,67.3,B (Accumulate),70,65,68,65,70,65,330.37,-0.5,209
JBHT,"J.B. Hunt Transport Services, Inc.",67.3,B (Accumulate),80,60,73,45,50,90,229.05,-8.2,210
LDOS,"Leidos Holdings, Inc.",67.3,B (Accumulate),50,70,83,75,80,50,194.72,12.6,211
J,Jacobs Solutions Inc.,67.1,B (Accumulate),70,65,68,60,75,65,151.16,4.2,212
QRVO,"Qorvo, Inc.",67.1,B (Accumulate),75,65,68,65,55,65,84.31,4.7,213
BEN,"Franklin Resources, Inc.",67.1,B (Accumulate),85,50,68,55,50,90,28.16,-2.8,214
