ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
DOC,97.28,0.29,4.89,692.22,10,0,0,Neutral,65,Institutional Support
DOV,88.65,1.39,3.0,135.3,10,0,0,Neutral,65,Institutional Support
DOW,66.77,0.17,4.48,715.7,10,0,0,Neutral,60,Institutional Support
DPZ,91.08,9.33,7.07,32.83,10,0,0,Neutral,65,Institutional Support
DRI,95.94,0.33,7.66,114.59,10,0,0,Neutral,65,Institutional Support
DTE,80.79,0.39,1.99,206.54,10,0,0,Neutral,70,Strong Institutional Support
DUK,70.31,0.13,1.62,775.79,10,0,0,Neutral,65,Institutional Support
DVA,51.23,51.54,20.23,36.97,10,0,0,Neutral,40,Institutional Concern
DVN,80.4,0.8,4.03,621.87,10,0,0,Neutral,65,Institutional Support
DXCM,97.4,0.43,5.09,387.36,10,0,0,Neutral,65,Institutional Support
EA,99.34,0.2,4.25,224.82,10,0,0,Neutral,65,Institutional Support
EBAY,95.52,0.25,3.32,450.29,10,0,0,Neutral,65,Institutional Support
ECL,94.03,0.14,1.07,285.43,10,0,0,Neutral,70,Strong Institutional Support
ED,73.58,0.22,3.69,360.3,10,0,0,Neutral,60,Institutional Support
EFX,103.38,0.57,2.95,119.8,10,0,0,Neutral,70,Strong Institutional Support
EG,101.6,1.47,2.59,30.32,10,0,0,Neutral,70,Strong Institutional Support
EIX,91.02,0.23,2.87,383.82,10,0,0,Neutral,70,Strong Institutional Support
EL,92.54,1.53,4.35,246.22,10,0,0,Neutral,65,Institutional Support
ELV,92.43,0.17,1.66,220.22,10,0,0,Neutral,70,Strong Institutional Support
EMN,91.66,0.78,4.25,113.19,10,0,0,Neutral,65,Institutional Support
EMR,84.36,0.24,2.7,559.88,10,0,0,Neutral,70,Strong Institutional Support
ENPH,96.34,3.43,30.13,126.86,10,0,0,Neutral,55,Institutional Support
EOG,95.46,0.29,2.61,540.78,10,0,0,Neutral,70,Strong Institutional Support
EPAM,101.85,3.6,6.4,53.34,10,0,0,Neutral,65,Institutional Support
EQIX,98.5,0.28,2.65,97.81,10,0,0,Neutral,70,Strong Institutional Support
EQR,95.47,0.54,2.79,339.99,10,0,0,Neutral,70,Strong Institutional Support
EQT,94.99,0.7,4.23,618.81,10,0,0,Neutral,65,Institutional Support
ES,86.14,0.21,1.9,374.3,10,0,0,Neutral,70,Strong Institutional Support
ESS,103.89,1.17,3.35,63.8,10,0,0,Neutral,65,Institutional Support
ETN,83.9,0.18,1.89,387.07,10,0,0,Neutral,70,Strong Institutional Support
ETR,97.63,0.28,3.15,444.29,10,0,0,Neutral,65,Institutional Support
ETSY,126.11,1.22,22.99,81.26,10,0,0,Neutral,55,Institutional Support
EVRG,94.64,0.18,6.08,229.03,10,0,0,Neutral,65,Institutional Support
EW,90.18,0.92,1.55,578.47,10,0,0,Neutral,70,Strong Institutional Support
EXC,90.8,0.12,5.26,1008.46,10,0,0,Neutral,65,Institutional Support
EXPD,103.73,0.68,5.16,132.95,10,0,0,Neutral,65,Institutional Support
